Dipole,Dist-mm,Residual-Variance,
1023,2.965526,0.020408,
1024,8.592155,0.003654,
1025,5.617949,0.004654,
1026,5.698589,0.005001,
1027,11.16439,0.00545,
1028,14.01541,0.003516,
1029,8.958204,0.004603,
1030,9.181694,0.003743,
1031,11.89166,0.003668,
1032,7.466252,0.003937,
1033,1.442307,0.061106,
1034,8.407585,0.003171,
1035,15.74527,0.003576,
1036,12.02015,0.004935,
1037,16.29576,0.006915,
1038,7.007788,0.047025,
1039,10.07148,0.002265,
1040,11.29383,0.005013,
1041,7.072603,0.005138,
1042,12.6346,0.00463,
1043,16.29042,0.003359,
1044,14.47303,0.003664,
1045,6.535775,0.008804,
1046,11.91645,0.002017,
1047,12.89987,0.005762,
1048,16.7695,0.004087,
1049,5.968307,0.005414,
1050,11.69829,0.003203,
1051,16.44669,0.004133,
1052,8.10253,0.001807,
1053,16.40705,0.002442,
1054,2.584357,0.034002,
1055,14.00313,0.003701,
1056,13.11775,0.005708,
1057,11.39208,0.002805,
1058,3.194136,0.011022,
1059,10.94877,0.00399,
1060,6.634045,0.004682,
1061,5.830239,0.00371,
1062,13.75052,0.012533,
1063,6.223224,0.003208,
1064,12.35324,0.004182,
